source_id,original_ext_source_id,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,col2mass,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,ra,dec,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,bp_rp,bp_g,phot_g_mean_mag,g_rp,phot_bp_mean_mag,visibility_periods_used
2207181631839430784,22501421+6225502,5,455858180,1,0,1,22501421+6225502,-0.6068972709226363,0.7140432293693812,-0.1753982569191243,-1.8658213093012237,1.263907743926469,0.9380624861161396,342.5592193398106,62.4305567598576,339.6815,235,1.8180015,2.2518024,0.88897705,20.18407,1.3628254,21.073048,15
2207261277707746176,22524912+6229208,5,455961945,1,0,1,22524912+6229208,0.4343590113161595,0.7137786122865034,-4.855951643554165,-1.5799421993765201,1.3730394999236986,1.086133223571424,343.2046480644343,62.48905331678091,299.6375,203,1.6946299,1.9187107,0.6993885,20.26457,1.2193222,20.963959,16
2207262823896034304,22530261+6233395,5,456088269,1,0,1,22530261+6233395,1.3529602685709723,0.511247310649594,-0.7996668323277919,-3.073249711457958,1.382670288544295,1.0213328158364443,343.2609565349416,62.560964051676656,244.42545,166,2.193904,2.6840324,1.0518112,19.806763,1.6322212,20.858574,11
2207281034554977024,22532592+6245475,5,456447168,1,0,1,22532592+6245475,0.10881645159915464,0.23063738297677142,-1.3016285142132664,-1.0460617775607641,0.45143033025797175,0.4037999968994384,343.3580657883022,62.763157426701405,245.4697,234,1.5461771,2.379345,1.170744,19.217203,1.208601,20.387947,17
2207264507524227584,22534250+6236413,2,456178094,1,0,1,22534250+6236413,,,,,,,343.42708143835887,62.611382894368155,82.866745,44,,,,21.142738,,,4
2207270692273403392,22542529+6239310,5,456261545,1,0,1,22542529+6239310,-0.509981675625841,0.47329543214322317,-2.6673020640635627,-1.052364405094853,1.0218738055821779,0.8439498827966997,343.605126238187,62.6586166960643,236.36356,202,2.030769,2.222395,0.74469185,20.24846,1.4777031,20.993153,15
2207266191153157760,22553701+6237109,5,456192711,1,0,1,22553701+6237109,-1.0006087927712035,0.40001181611831393,-0.5413656810054831,-2.6756949733925257,0.9274787464622377,0.6663352442181751,343.90423323026096,62.61973067860091,270.20834,212,2.045124,2.0144405,0.56998825,19.631245,1.4444523,20.201233,15
2207285436900413952,22554207+6251409,5,456620236,1,0,1,22554207+6251409,1.698186508448092,0.49908845763229176,5.067476408949862,-5.066492354284135,0.845104897509201,0.7040958692432564,343.9252467351077,62.86134728773427,295.2308,232,1.8333883,1.6376209,0.4033947,20.2392,1.2342262,20.642595,18
2207216717420956032,22570044+6234437,5,456119780,1,0,1,22570044+6234437,1.224170576685633,0.7030139012121636,1.0427737482316846,-0.6115001478629759,1.8296517401187251,1.1651704722333194,344.2518022700934,62.57880550838166,290.49506,213,3.1926758,2.3186588,0.33283997,20.379362,1.9858189,20.712202,14
2207226986693365632,22571626+6229227,2,455962919,1,0,1,22571626+6229227,,,,,,,344.31779445459404,62.48952900085801,423.032,42,3.948825,1.5680084,-0.4796009,20.880177,2.0476093,20.400576,4
2207226544306923904,22575681+6230562,2,456008388,1,0,1,22575681+6230562,,,,,,,344.4865978186811,62.515654608392666,126.283516,74,,,,21.056314,,,9
2207950813229687552,22483374+6248480,2,456535507,1,0,1,22483374+6248480,,,,,,,342.14065238690307,62.813393485708595,1263.346,81,2.227382,2.12319,0.5638771,18.158745,1.5593128,18.722622,8
2207950744514141952,22483629+6248086,5,456516365,1,0,1,22483629+6248086,1.1973187684861724,0.016543560495429495,-1.5167480503154644,-2.3700511916016196,0.032334510130531485,0.026583812630443408,342.15124501755804,62.80239137287709,147.67929,248,1.2822605,1.4161243,0.6358299,13.909931,0.7802944,14.545761,18
2207999569703957760,22484014+6256562,5,456772728,1,0,1,22484014+6256562,0.5256751672965427,0.06281708168720798,-11.119375833792466,-4.847826620583554,0.10901088298776879,0.09880438809831069,342.1672546320552,62.94895058912841,265.75555,239,1.4540691,2.2362194,1.1187057,16.892021,1.1175137,18.010727,16
2207925971143184640,22484779+6226369,5,455881218,1,0,1,22484779+6226369,0.9598288268865564,0.22240351033199657,-2.0044595081266774,-2.8099163549559343,0.3868758462233618,0.32389428168163753,342.1992702455658,62.44357784200314,311.9301,245,1.8438128,3.0350075,1.5528164,18.756702,1.4821911,20.309519,18
2207925898123570432,22484862+6226367,5,455881126,1,0,1,22484862+6226367,1.0331869184925158,0.10780665061528556,-2.6248924016599324,-2.6779442007991157,0.21025085255476048,0.1884877603092392,342.20260709261953,62.443500477088634,285.23984,236,1.5395466,2.4104538,1.201561,17.872238,1.2088928,19.0738,18
2207925691975356928,22485295+6225368,5,455851539,1,0,1,22485295+6225368,-0.4925607212577881,1.2445163592253659,-1.2214228842643864,-4.088259305187875,2.8151125512073727,2.1513439020973717,342.22064317012126,62.42685460738691,166.49863,130,2.6949248,2.235468,0.44818497,20.696829,1.787283,21.145014,13
2207176340433240960,22491915+6224359,5,455821540,1,0,1,22491915+6224359,1.6465737109420755,0.660036652484221,-1.2176944274969745,-1.9430719353638184,1.1203164998719335,0.9282500920954759,342.32983694541207,62.40998193379466,258.43744,228,2.1022058,2.2289448,0.7125187,20.156115,1.5164261,20.868633,16
