Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label            Explanations
--------------------------------------------------------------------------------
   1- 16 A16    --        2MASS            2MASS identification number
  18- 22 I5     --        Cnts             Combined number of X-ray photon
  24- 31 A8     mW/m2     AttXflux         Attenuated X-ray flux
  33- 41 A9     mW/m2     AttXfluxUnc      Attenuated X-ray flux uncertainty
  43- 59 A17    mW/m2     UnattXflux       Corrected X-ray flux
  61- 69 A9     mW/m2     UnattXfluxUnc    Corrected X-ray flux uncertainty
  71- 74 F4.2   [mW/m2]   XSurfaceFlux     X-ray surface flux
  76-103 F28.5  [mW/m2]   XSurfaceFluxUnc  X-ray surface flux uncertainty
--------------------------------------------------------------------------------
Note (1):   ***ADD LENGTHY NOTES HERE***
Note (2):   ***OR REMOVE THIS SECTION***
--------------------------------------------------------------------------------
22533749+6236597    11 1.56e-15 6.58e-16  2.718e-15         1.294e-15 5.97                      0.48000 
22533869+6237171    34 3.16e-15 8.33e-16  6.788e-15         2.002e-15 6.24                      0.29000 
22533913+6239220 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.69 -199998000000000000000.00000 
22533968+6240429    10 3.59e-15 1.42e-15  6.746e-15         2.906e-15 6.95                      0.43000 
22534042+6237564   118 1.11e-14 1.44e-15  2.588e-14         4.045e-15 6.91                      0.16000 
22534145+6244099 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.50 -199998000000000000000.00000 
22534187+6236036    45 6.77e-15 1.52e-15  1.571e-14         4.058e-15 6.64                      0.26000 
22534360+6235322     5 3.54e-15 1.81e-15  8.525e-15         4.819e-15 6.51                      0.57000 
22534448+6239061    29 2.73e-15 9.26e-16  2.735e-15         9.259e-16 6.12                      0.34000 
22534450+6238305    83 8.96e-15 1.02e-15  1.518e-14         1.735e-15 6.16                      0.11000 
22534497+6234024    70 7.44e-15 1.12e-15  1.659e-14         2.657e-15 6.43                      0.16000 
22534551+6239059 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.59 -199998000000000000000.00000 
22534931+6235274   226 2.86e-14 2.17e-15  5.213e-14         4.371e-15 6.53                      0.08000 
22534969+6235191    22 4.80e-15 1.13e-15  1.004e-14         2.378e-15 6.04                      0.24000 
22535007+6235505    65 6.29e-15 1.15e-15  1.457e-14         3.92e-15  6.43                      0.27000 
22535057+6234415     7 2.15e-15 8.41e-16  4.391e-15         1.934e-15 6.39                      0.44000 
22535132+6235184   122 1.74e-14 3.75e-15  3.201e-14         6.947e-15 6.66                      0.22000 
22535192+6227187 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.01 -199998000000000000000.00000 
22535201+6238090    35 4.53e-15 9.35e-16  8.644e-15         1.799e-15 6.35                      0.21000 
22535338+6226437 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.54 -199998000000000000000.00000 
22535527+6233218    67 7.61e-15 1.30e-15  1.47e-14          2.731e-15 6.49                      0.19000 
22535755+6229037   185 3.59e-14 2.54e-15  8.584e-14         6.082e-15 7.21                      0.07000 
22535794+6240294    44 7.00e-15 1.33e-15  1.582e-14         3.509e-15 6.70                      0.22000 
22535824+6236379   140 1.63e-14 1.82e-15  3.306e-14         3.998e-15 6.82                      0.12000 
22540336+6237180    17 3.37e-15 9.78e-16  6.791e-15         2.394e-15 6.62                      0.35000 
22540342+6232549 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.35 -199998000000000000000.00000 
22540382+6238211   242 1.86e-14 1.77e-15  3.374e-14         3.403e-15 6.76                      0.10000 
22540533+6240313    51 5.92e-15 1.19e-15  1.099e-14         2.443e-15 6.49                      0.22000 
22540553+6235451 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.31 -199998000000000000000.00000 
22540675+6240139 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.24 -199998000000000000000.00000 
22540770+6241280    10 3.65e-15 1.30e-15  7.059e-15         2.644e-15 6.15                      0.37000 
22540831+6228282 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.27 -199998000000000000000.00000 
22540908+6241173    38 1.54e-14 2.57e-15  3.303e-14         5.622e-15 7.51                      0.17000 
22541076+6241389 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.97 -199998000000000000000.00000 
22541118+6233032     9 3.47e-15 1.29e-15  8.923e-15         3.579e-15 6.42                      0.40000 
22541168+6235514 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.01 -199998000000000000000.00000 
22541191+6238054    25 8.06e-15 1.62e-15  1.712e-14         3.501e-15 6.78                      0.20000 
22541227+6241154 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.57 -199998000000000000000.00000 
22541270+6235379    38 6.52e-15 1.62e-15  1.448e-14         4.139e-15 6.52                      0.29000 
22541285+6228410 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.23 -199998000000000000000.00000 
22541486+6241544 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.49 -199998000000000000000.00000 
22541601+6230058 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.45 -199998000000000000000.00000 
22541609+6240461    53 8.12e-15 1.51e-15  1.455e-14         2.997e-15 6.89                      0.21000 
22541660+6224097 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.63 -199998000000000000000.00000 
22541771+6233064    75 1.25e-14 1.54e-15  2.178e-14         2.922e-15 6.73                      0.13000 
22541815+6234425    16 2.79e-15 1.70e-15  9.479e-15         5.968e-15 6.59                      0.63000 
22541952+6226466 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.69 -199998000000000000000.00000 
22542173+6236180    12 3.67e-15 2.51e-15  8.288e-15         6.918e-15 5.87                      0.83000 
22542215+6235591   118 1.41e-14 1.43e-15  3.136e-14         3.638e-15 6.69                      0.12000 
22542341+6227559 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.14 -199998000000000000000.00000 
22542405+6235158   338 3.62e-14 1.86e-15  5.039e-14         2.597e-15 6.75                      0.05000 
22542479+6242134 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.62 -199998000000000000000.00000 
22542665+6234589    23 7.29e-15 1.72e-15  1.955e-14         6.018e-15 7.19                      0.31000 
22542713+6240522    87 3.08e-14 3.54e-15  3.077e-14         3.538e-15 7.18                      0.11000 
22542767+6249126 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.45 -199998000000000000000.00000 
22542993+6240335    70 7.80e-15 1.07e-15  1.477e-14         2.123e-15 6.73                      0.14000 
22543012+6234590 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.06 -199998000000000000000.00000 
22543016+6241079 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.57 -199998000000000000000.00000 
22543022+6237107 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.15 -199998000000000000000.00000 
22543056+6235028 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.63 -199998000000000000000.00000 
22543096+6244113 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.66 -199998000000000000000.00000 
22543107+6228466 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.79 -199998000000000000000.00000 
22543166+6237117    80 8.44e-15 1.21e-15  1.955e-14         3.065e-15 6.58                      0.16000 
22543184+6233339 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.83 -199998000000000000000.00000 
22543257+6235289    91 1.15e-14 1.19e-15  1.15e-14          1.187e-15 6.84                      0.10000 
22543374+6235284 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.60 -199998000000000000000.00000 
22543423+6235555    94 1.59e-14 1.81e-15  1.591e-14         1.808e-15 6.58                      0.11000 
22543612+6243047 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.25 -199998000000000000000.00000 
22543639+6230390    66 1.88e-14 3.00e-15  4.368e-14         7.921e-15 7.41                      0.18000 
22543648+6232540    87 1.27e-14 1.76e-15  2.727e-14         4.188e-15 7.16                      0.15000 
22543773+6229307 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.21 -199998000000000000000.00000 
22543938+6236172 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.26 -199998000000000000000.00000 
22543980+6230599    12 9.76e-15 3.18e-15  1.252e-14         4.083e-15 6.76                      0.33000 
22544157+6240086 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.25 -199998000000000000000.00000 
22544197+6233236 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.14 -199998000000000000000.00000 
22544224+6235548    17 5.81e-15 2.03e-15  1.313e-14         4.944e-15 6.51                      0.38000 
22544332+6240103   777 4.55e-14 2.19e-15  7.002e-14         3.553e-15 6.78                      0.05000 
22544431+6235183 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.91 -199998000000000000000.00000 
22544493+6240238 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.36 -199998000000000000000.00000 
22544557+6236009 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.90 -199998000000000000000.00000 
22544571+6232434    48 2.40e-14 3.28e-15  4.275e-14         5.828e-15 6.98                      0.14000 
22544626+6232122 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.26 -199998000000000000000.00000 
22544631+6236517 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.30 -199998000000000000000.00000 
22544744+6223335 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.77 -199998000000000000000.00000 
22544821+6240057 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.38 -199998000000000000000.00000 
22544868+6232566 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.51 -199998000000000000000.00000 
22544888+6233049 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.09 -199998000000000000000.00000 
22544942+6239227    12 4.66e-15 1.74e-15  9.031e-15         4.044e-15 6.41                      0.45000 
22545035+6238213 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.25 -199998000000000000000.00000 
22545080+6240485    30 1.32e-14 3.17e-15  1.317e-14         3.168e-15 6.40                      0.24000 
22545095+6240344 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.30 -199998000000000000000.00000 
22545101+6239064 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.09 -199998000000000000000.00000 
22545351+6224399 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.43 -199998000000000000000.00000 
22545364+6234031 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.91 -199998000000000000000.00000 
